Date,Total_Cases
1/23/2020,845
1/24/2020,1317
1/25/2020,2015
1/26/2020,2800
1/27/2020,4581
1/28/2020,6058
1/29/2020,7813
1/30/2020,9821
1/31/2020,11948
2/1/2020,14551
2/2/2020,17389
2/3/2020,20628
2/4/2020,24553
2/5/2020,28276
2/6/2020,31439
2/7/2020,34876
2/8/2020,37552
2/9/2020,40553
2/10/2020,43099
2/11/2020,45170
2/12/2020,59283
2/13/2020,64437
2/14/2020,67100
2/15/2020,69197
2/16/2020,71329
2/17/2020,73332
2/18/2020,75184
2/19/2020,75700
2/20/2020,76677
2/21/2020,77673
2/22/2020,78651
